w,e
25.171753,1.0
24.929717,0.8716523
24.692291,0.8718439
24.459345,0.8681349
24.230752,0.8623575
24.006393,0.856748
23.786151,0.8528024
23.569913,0.8509174
23.357571,0.8504595
23.149022,0.8500574
22.944163,0.8484952
22.742898,0.8449811
22.545134,0.8403663
22.350779,0.8361927
22.159751,0.8338702
21.971957,0.8341273
21.787318,0.8366341
21.605757,0.8398815
21.427192,0.8417736
21.251564,0.8413185
21.078787,0.8392378
20.908797,0.8374173
20.741526,0.8377835
20.576911,0.8413857
20.414888,0.8476815
20.255396,0.8542069
20.098378,0.857146
19.943775,0.8545603
19.791532,0.8468751
19.641596,0.8363861
19.493915,0.825802
19.348437,0.8173275
19.205116,0.8121839
19.063901,0.8101766
18.924749,0.8093526
18.787613,0.8078071
18.65245,0.8039496
18.519218,0.7971374
18.387879,0.7872025
18.258384,0.773938
18.130706,0.7570751
18.004795,0.7366988
17.880624,0.7135491
17.758154,0.6892189
17.63735,0.6652826
17.518179,0.6430836
17.400607,0.6240136
17.284603,0.609789
17.170135,0.6018633
17.057177,0.59971
16.945692,0.5995745
16.835655,0.5957518
16.727037,0.5836973
16.619813,0.5616933
16.513954,0.5308508
16.409435,0.4947427
16.306231,0.458801
16.204317,0.4285926
16.103669,0.4074017
16.004264,0.3948782
15.906078,0.388325
15.809089,0.3846995
15.713277,0.3819025
15.618618,0.3789972
15.525094,0.3758382
15.432682,0.3725583
15.341365,0.3691792
15.251121,0.3653423
15.161933,0.3606035
15.073785,0.3546713
14.986651,0.3476952
14.90052,0.3403331
14.815375,0.3335106
14.731196,0.32798
14.647969,0.3239522
14.565677,0.3211524
14.484304,0.3190831
14.403836,0.3174759
14.324257,0.3165762
14.245554,0.317233
14.167709,0.3208269
14.090711,0.3290634
14.014545,0.3436708
13.939198,0.3659851
13.864657,0.3964824
13.790906,0.4340374
13.71794,0.4746206
13.645739,0.5095803
13.574297,0.5262945
13.503596,0.5157974
13.433631,0.4822768
13.364385,0.439731
13.29585,0.3999588
13.228014,0.3680151
13.160866,0.3447119
13.094397,0.329315
13.028596,0.3205331
12.963453,0.3166342
12.898958,0.3155628
12.835102,0.3153595
12.771875,0.3145713
12.709268,0.3125391
12.647271,0.309401
12.585877,0.3058546
12.525075,0.3027609
12.464858,0.3007179
12.405218,0.2997858
12.346145,0.2995918
12.287633,0.2995779
12.229674,0.2993454
12.172256,0.2988216
12.115378,0.2982241
12.059026,0.2978896
12.003198,0.2980697
11.947882,0.2987852
11.893077,0.2998264
11.838769,0.300847
11.784958,0.3015465
11.731631,0.3018149
11.678787,0.3017726
11.626414,0.3016882
11.574512,0.3018206
11.52307,0.3022713
11.472083,0.3029438
11.421545,0.3036098
11.37145,0.3040566
11.321793,0.3042218
11.272568,0.3042348
11.223769,0.3043471
11.175391,0.3047871
11.127428,0.3056305
11.079874,0.3067545
11.032726,0.3079144
10.985977,0.30889
10.939623,0.3096104
10.893658,0.3101909
10.848078,0.3108601
10.802877,0.311822
10.758052,0.3131328
10.713599,0.3146601
10.66951,0.3161614
10.625781,0.3174168
10.58241,0.3183464
10.539392,0.3190453
10.496723,0.3197181
10.454397,0.320554
10.412412,0.321614
10.370762,0.3227936
10.329444,0.3238826
10.288454,0.3246835
10.247788,0.3251168
10.207444,0.325256
10.167415,0.3252789
10.127698,0.3253624
10.088291,0.3255829
10.049189,0.3258807
10.010389,0.3261012
9.9718892,0.3260903
9.9336827,0.3257899
9.8957679,0.325276
9.8581413,0.3247252
9.8207999,0.3243239
9.7837402,0.3241709
9.7469592,0.3242314
9.7104537,0.3243636
9.6742206,0.3244126
9.6382569,0.3243102
9.6025597,0.3241239
9.5671258,0.3240263
9.5319525,0.3241921
9.4970369,0.3246867
9.4623762,0.3254064
9.4279675,0.3261221
9.3938082,0.326599
9.3598955,0.3267284
9.3262267,0.3265913
9.2927994,0.3264153
9.2596108,0.3264484
9.2266584,0.3268233
9.1939397,0.3274905
9.1614523,0.3282646
9.1291936,0.3289472
9.0971613,0.329445
9.065353,0.3298154
9.0337664,0.3302218
9.0023991,0.3308269
8.9712489,0.3316898
8.9403136,0.3327314
8.9095908,0.3337805
8.8790785,0.3346758
8.8487744,0.3353575
8.8186765,0.3359012
8.7887827,0.3364708
